Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
261781126547,ZwrotPodatkow.pl,These ads ran without a disclaimer,≤100,1
106677467385112,Coilla Drake 4 Orkney and Shetland,Coilla Anne Drake,≤100,1
349682861868419,CanO Water,These ads ran without a disclaimer,≤100,6
481028382380661,Ali Milani for Uxbridge & South Ruislip,The Labour Party,≤100,1
375661669633303,TRATON GROUP,These ads ran without a disclaimer,≤100,1
2112665965417019,Active For Plymouth,Jason Wlliam Shopland,≤100,1
1044298658931232,Dog Walking Caerdydd,These ads ran without a disclaimer,≤100,1
716858995053501,Digital ID,These ads ran without a disclaimer,≤100,1
114453686647866,Guildford Saves on Solar,These ads ran without a disclaimer,≤100,1
2638983929506493,Linlithgow and East Falkirk VAPP,Mark Andrew Tunnicliff,≤100,1
108070030585717,EcoLid,These ads ran without a disclaimer,≤100,2
571275800053467,Lebanese in Lancashire UK,These ads ran without a disclaimer,≤100,1
827402857468898,Himalaya,These ads ran without a disclaimer,≤100,1
968774436534491,CD Duplication Ireland,These ads ran without a disclaimer,≤100,2
346356044183,Henry Raby's Punk Poetry,Henry Stephen Raby,≤100,1
113700853366061,Blue Alien,These ads ran without a disclaimer,≤100,1
109601370384537,Louise Potter - Lib Dem Prospective Parliamentary Candidate for Horsham,Louise Potter,≤100,1
1313324632136813,Red Revolution Media,These ads ran without a disclaimer,≤100,1
1532879663646865,Thailand Elephants,These ads ran without a disclaimer,≤100,1
349182628607366,Dover District Council,These ads ran without a disclaimer,≤100,1
107696373935992,Prince Hamdan sheikh fazza,These ads ran without a disclaimer,≤100,1
161916260510295,Òmnium Cultural,These ads ran without a disclaimer,≤100,3
572453846222476,EauVation UK,These ads ran without a disclaimer,≤100,1
